id,race,sex,age,juv_fel_count,juv_misd_count,priors_count,charge_id,charge_degree..misd.fel.,compas_decile_score,two_year_recid,compas_guess,compas_correct,charge_degree,juv_other_count
154,1,1,39,0,0,0,15,1,1,1,0,0,1,0
156,1,0,24,0,1,8,163,1,6,1,1,1,1,2
157,1,0,30,0,0,0,317,1,4,0,0,1,1,0
158,1,0,31,0,0,0,45,0,5,0,1,0,0,0
159,1,1,39,0,0,1,318,1,4,0,0,1,1,0
160,2,0,59,0,0,14,28,1,9,1,1,1,1,0
163,1,0,43,0,0,1,306,1,1,0,0,1,1,0
166,2,0,21,0,0,3,190,1,9,1,1,1,1,0
169,1,0,38,0,0,5,283,0,4,1,0,0,0,0
171,1,0,34,0,0,0,16,1,5,0,1,0,1,0
173,2,0,33,0,0,5,253,1,5,1,1,1,1,0
174,2,0,37,0,0,3,280,1,2,0,0,1,1,0
175,1,0,42,0,0,1,13,1,2,1,0,0,1,0
176,2,0,41,0,1,10,306,1,9,1,1,1,1,0
177,2,0,22,0,0,0,418,1,4,1,0,0,1,0
178,2,0,33,0,12,28,129,1,8,1,1,1,1,2
180,2,0,31,0,0,1,45,0,7,0,1,0,0,0
182,6,1,30,0,0,1,89,1,2,0,0,1,1,0
183,1,0,31,0,0,13,28,1,10,1,1,1,1,0
184,2,0,27,0,0,3,306,1,9,1,1,1,1,0
187,2,0,56,0,0,8,28,1,9,0,1,0,1,0
189,1,0,52,0,0,3,45,0,9,0,1,0,0,0
190,2,0,33,0,0,19,28,1,10,1,1,1,1,0
192,1,1,64,0,0,2,337,0,1,0,0,1,0,0
193,1,0,22,0,0,4,297,1,6,1,1,1,1,0
194,1,0,42,0,0,6,297,1,3,0,0,1,1,0
195,1,1,25,0,0,2,28,1,4,0,0,1,1,0
197,1,0,30,0,0,1,7,0,2,0,0,1,0,0
199,1,0,28,0,0,2,28,1,1,0,0,1,1,0
200,6,1,37,0,0,2,242,0,2,0,0,1,0,0
202,1,0,28,0,0,0,123,0,2,1,0,0,0,0
203,2,1,24,0,0,0,45,0,2,0,0,1,0,0
206,1,1,29,0,1,10,190,1,4,1,0,0,1,0
208,1,0,44,0,0,2,45,0,2,1,0,0,0,0
209,3,1,30,0,0,4,49,1,5,1,1,1,1,0
210,2,0,32,0,0,3,306,1,7,1,1,1,1,0
213,1,0,31,0,0,2,337,0,3,1,0,0,0,0
215,2,0,31,0,0,1,215,0,2,0,0,1,0,0
216,1,0,59,0,0,1,306,1,2,1,0,0,1,0
218,1,1,45,0,0,4,28,1,4,0,0,1,1,0
220,2,1,20,1,0,1,28,1,10,0,1,0,1,0
222,1,1,43,0,0,0,133,0,1,0,0,1,0,0
223,2,0,38,1,1,9,306,1,8,1,1,1,1,0
224,2,0,32,0,0,11,268,1,6,1,1,1,1,0
225,2,0,33,0,0,8,31,0,5,1,1,1,0,0
227,2,1,31,0,0,0,319,1,3,1,0,0,1,0
228,2,1,33,0,0,7,306,1,9,1,1,1,1,0
229,2,0,27,0,0,2,379,1,9,1,1,1,1,0
231,2,1,20,0,0,0,190,1,6,0,1,0,1,0
232,1,1,26,0,0,0,151,0,6,0,1,0,0,0
234,2,1,61,0,0,1,365,1,1,1,0,0,1,0
235,6,0,52,0,0,13,175,1,7,1,1,1,1,0
236,3,0,63,0,0,1,28,1,1,0,0,1,1,0
238,2,1,32,0,0,4,28,1,10,1,1,1,1,0
239,3,0,29,0,0,1,190,1,4,0,0,1,1,0
240,6,1,46,0,0,1,189,1,2,0,0,1,1,0
241,2,1,26,0,0,2,128,0,4,1,0,0,0,0
242,2,0,55,0,0,3,45,0,1,0,0,1,0,0
243,1,0,39,1,0,1,28,0,4,0,0,1,0,0
244,1,1,30,0,0,3,304,1,7,1,1,1,1,0
245,2,0,30,0,0,1,56,1,7,0,1,0,1,0
246,1,0,48,0,0,2,45,0,2,0,0,1,0,0
248,2,0,22,0,0,1,28,1,2,0,0,1,1,0
249,1,0,46,0,0,6,129,1,1,1,0,0,1,0
251,1,1,49,0,0,6,89,1,6,0,1,0,1,0
252,1,0,31,0,0,0,108,1,5,0,1,0,1,0
254,2,0,25,0,0,1,45,0,2,1,0,0,0,0
257,3,0,23,0,0,0,280,1,3,0,0,1,1,0
258,2,1,32,0,0,5,15,1,7,0,1,0,1,0
259,3,0,52,0,0,2,206,0,1,0,0,1,0,0
260,2,0,62,0,0,8,306,1,4,0,0,1,1,0
262,1,1,37,0,0,6,306,1,10,0,1,0,1,0
263,1,0,55,0,0,1,190,1,1,0,0,1,1,0
264,3,0,31,0,0,8,28,1,9,1,1,1,1,0
265,2,0,28,0,0,6,337,0,6,1,1,1,0,0
266,3,0,54,0,0,2,65,1,1,0,0,1,1,0
267,3,0,58,0,0,0,311,1,2,0,0,1,1,0
268,1,0,78,0,0,1,128,0,1,1,0,0,0,0
269,1,0,56,0,0,0,306,1,1,0,0,1,1,0
271,6,0,24,0,0,0,65,1,2,0,0,1,1,0
272,2,0,38,2,2,22,74,1,8,1,1,1,1,1
275,2,0,22,0,0,1,246,1,5,1,1,1,1,0
277,2,0,47,0,0,23,283,0,8,1,1,1,0,0
278,2,0,23,0,0,0,45,0,2,1,0,0,0,0
279,3,0,57,0,0,1,129,1,1,0,0,1,1,0
280,1,1,38,0,0,2,306,1,5,1,1,1,1,0
281,2,0,66,0,0,3,6,1,1,0,0,1,1,0
282,1,0,45,0,0,8,423,0,4,1,0,0,0,0
285,6,1,52,0,0,0,28,0,3,1,0,0,0,0
286,2,0,32,0,0,13,252,1,10,1,1,1,1,0
287,2,0,37,0,0,2,45,0,9,1,1,1,0,0
288,1,0,39,0,0,0,317,1,4,1,0,0,1,0
289,2,0,26,0,0,9,112,1,9,1,1,1,1,0
291,1,0,45,0,0,2,211,1,3,0,0,1,1,0
293,2,0,23,0,0,0,303,1,3,1,0,0,1,0
294,2,0,34,0,0,2,45,0,2,0,0,1,0,0
297,2,1,23,0,0,1,45,0,4,0,0,1,0,0
298,6,0,36,0,0,2,45,0,3,1,0,0,0,0
299,1,0,50,0,0,1,359,1,1,0,0,1,1,0
300,1,1,37,0,0,0,208,0,3,0,0,1,0,0
301,1,0,44,0,0,4,45,0,4,0,0,1,0,0
302,2,1,35,0,1,23,175,1,9,1,1,1,1,0
304,6,0,24,0,0,5,28,1,5,1,1,1,1,0
306,2,0,26,0,0,2,179,1,10,1,1,1,1,0
308,2,0,27,0,0,0,92,0,2,0,0,1,0,0
310,2,1,28,0,0,0,10,1,8,0,1,0,1,0
311,1,0,43,0,0,11,28,1,5,1,1,1,1,0
313,1,1,28,0,0,7,175,1,9,1,1,1,1,0
315,2,0,38,0,0,2,129,1,1,0,0,1,1,0
316,1,0,27,0,0,2,397,0,4,0,0,1,0,0
317,2,1,28,0,0,1,28,1,9,0,1,0,1,0
319,1,0,56,0,0,7,172,1,1,1,0,0,1,0
320,2,0,38,0,0,15,306,1,9,0,1,0,1,0
321,2,0,28,0,0,2,283,0,5,0,1,0,0,0
322,2,0,45,0,0,3,28,1,6,0,1,0,1,0
323,3,0,28,0,0,0,134,0,2,0,0,1,0,0
325,1,0,61,0,0,1,28,1,1,0,0,1,1,0
326,1,1,51,0,0,0,128,0,1,1,0,0,0,0
327,1,0,51,0,0,0,45,0,2,0,0,1,0,0
329,6,0,36,0,0,1,283,0,1,1,0,0,0,0
330,2,0,48,0,0,0,20,1,1,0,0,1,1,0
331,1,0,37,0,0,4,28,1,3,1,0,0,1,0
332,2,1,30,0,0,2,190,1,7,0,1,0,1,0
333,2,1,41,0,0,5,45,0,6,0,1,0,0,0
334,2,0,27,0,0,11,342,1,10,1,1,1,1,0
335,2,0,37,0,0,0,45,0,1,0,0,1,0,0
336,6,0,33,0,0,4,16,1,4,1,0,0,1,0
337,2,0,54,0,0,11,186,1,9,0,1,0,1,0
338,2,0,23,0,0,2,343,1,9,0,1,0,1,0
341,2,1,26,0,0,2,28,1,4,1,0,0,1,0
344,2,0,41,0,0,0,45,0,1,0,0,1,0,0
345,1,0,52,0,0,0,66,1,1,0,0,1,1,0
347,1,0,43,0,0,13,129,1,4,1,0,0,1,0
348,2,0,52,0,0,0,418,1,4,0,0,1,1,0
349,1,0,28,0,0,1,28,1,1,0,0,1,1,0
350,2,0,30,0,0,11,45,0,9,1,1,1,0,2
351,1,0,28,0,0,1,92,1,5,0,1,0,1,0
354,2,0,22,0,0,0,246,1,4,0,0,1,1,0
355,2,0,30,0,0,4,129,1,2,0,0,1,1,0
356,3,0,25,0,0,4,303,1,4,0,0,1,1,0
357,1,0,31,0,0,0,65,1,8,1,1,1,1,0
358,1,0,37,0,0,0,190,1,2,1,0,0,1,0
359,2,0,32,0,1,14,21,1,9,0,1,0,1,0
360,2,0,26,0,1,4,283,0,8,0,1,0,0,0
361,1,0,53,0,0,1,45,0,1,0,0,1,0,0
362,2,0,28,0,0,25,28,1,8,1,1,1,1,0
363,1,0,44,0,0,8,45,0,5,1,1,1,0,0
364,2,0,25,0,0,0,190,1,3,0,0,1,1,0
366,1,0,22,0,0,1,430,0,8,1,1,1,0,1
369,6,1,37,0,0,0,45,0,1,0,0,1,0,0
372,6,1,40,0,0,3,129,1,2,0,0,1,1,0
374,1,0,36,0,0,8,172,1,7,1,1,1,1,0
375,1,0,30,0,0,4,159,1,2,0,0,1,1,0
376,2,0,22,0,0,3,328,0,9,1,1,1,0,0
377,1,1,24,0,0,1,45,0,7,1,1,1,0,0
378,2,0,27,0,0,3,426,0,2,1,0,0,0,0
379,3,1,31,0,0,0,45,0,2,0,0,1,0,0
381,3,0,23,0,0,1,28,1,6,1,1,1,1,1
382,1,1,23,0,0,5,28,1,5,1,1,1,1,4
383,3,0,24,0,0,0,283,0,8,0,1,0,0,0
384,2,0,29,0,0,1,45,0,3,0,0,1,0,0
385,2,0,20,0,0,1,71,1,8,1,1,1,1,0
386,2,0,30,0,0,2,71,1,6,1,1,1,1,0
389,6,0,39,0,0,0,384,1,1,0,0,1,1,0
390,2,0,27,0,0,4,28,1,4,0,0,1,1,0
392,1,0,31,0,0,2,28,0,4,0,0,1,0,0
393,2,1,37,0,0,2,28,1,1,0,0,1,1,0
396,2,0,20,0,0,0,292,1,8,0,1,0,1,0
398,3,0,22,0,0,0,280,1,7,0,1,0,1,1
399,2,1,52,0,0,0,58,1,1,0,0,1,1,0
400,2,1,23,0,0,0,71,1,4,1,0,0,1,0
402,2,1,48,0,0,0,15,1,2,0,0,1,1,0
403,2,0,66,0,0,8,112,1,6,1,1,1,1,0
404,1,0,25,0,0,0,108,1,5,0,1,0,1,0
405,1,0,27,0,0,0,190,1,6,1,1,1,1,0
406,2,0,30,0,0,11,404,1,7,1,1,1,1,0
407,2,0,22,0,1,3,45,0,10,1,1,1,0,1
408,1,1,22,0,0,1,246,1,3,0,0,1,1,0
409,2,0,35,0,0,2,28,1,10,0,1,0,1,0
410,1,0,32,0,0,2,28,1,4,0,0,1,1,0
411,2,1,41,0,0,2,49,0,3,0,0,1,0,0
414,6,1,25,0,0,0,15,1,2,0,0,1,1,0
415,2,0,44,0,0,24,240,0,7,0,1,0,0,0
416,2,0,52,0,0,3,306,1,6,1,1,1,1,0
417,2,0,43,0,0,0,169,1,1,0,0,1,1,0
423,1,0,37,0,0,3,28,1,1,0,0,1,1,0
424,2,0,28,0,0,3,283,0,4,1,0,0,0,0
425,1,0,70,0,0,1,45,0,1,0,0,1,0,0
426,1,0,54,0,0,6,306,1,2,1,0,0,1,0
428,1,0,46,0,0,3,28,1,4,0,0,1,1,0
429,2,0,21,0,0,0,242,0,9,1,1,1,0,0
430,2,0,26,0,0,1,45,0,8,1,1,1,0,0
431,3,0,38,0,0,3,89,1,1,1,0,0,1,0
432,1,0,34,0,0,5,45,0,4,0,0,1,0,0
434,2,0,19,0,0,1,190,1,5,1,1,1,1,0
435,2,0,34,0,0,5,127,0,4,0,0,1,0,0
437,1,0,23,0,0,0,15,1,5,1,1,1,1,0
438,2,0,34,0,0,5,319,1,4,1,0,0,1,0
439,2,0,30,0,0,2,28,1,1,0,0,1,1,0
440,2,0,39,0,0,6,21,1,3,1,0,0,1,0
441,6,0,24,0,0,0,156,1,3,0,0,1,1,0
442,1,0,33,0,0,1,128,0,3,1,0,0,0,0
445,1,0,58,0,0,2,8,1,3,0,0,1,1,0
446,2,1,21,0,0,0,45,0,6,0,1,0,0,0
450,2,0,21,0,0,1,42,1,5,0,1,0,1,0
451,2,0,23,0,0,4,283,0,8,1,1,1,0,1
452,1,0,62,0,0,0,159,1,1,0,0,1,1,0
454,2,0,27,1,0,4,283,0,8,1,1,1,0,1
456,1,0,37,0,0,5,49,1,3,0,0,1,1,0
457,6,0,43,0,0,2,190,1,2,1,0,0,1,0
459,2,1,32,0,0,5,10,1,1,0,0,1,1,0
461,3,0,23,0,0,0,58,1,3,0,0,1,1,0
462,2,0,27,0,0,0,45,0,1,0,0,1,0,0
463,1,0,44,0,0,0,45,0,1,1,0,0,0,0
464,1,0,28,0,0,3,45,0,3,1,0,0,0,0
465,1,1,42,0,0,0,306,1,2,0,0,1,1,0
467,6,0,24,0,1,9,336,1,10,1,1,1,1,0
468,2,0,27,0,0,0,10,1,2,0,0,1,1,0
469,2,0,20,0,0,0,186,1,10,1,1,1,1,0
474,1,1,51,0,0,0,49,0,1,0,0,1,0,0
475,1,0,56,0,0,0,50,0,1,0,0,1,0,0
478,2,0,29,0,0,7,28,1,9,0,1,0,1,0
480,2,0,20,0,0,0,190,1,9,1,1,1,1,0
481,1,0,53,0,0,6,28,1,1,0,0,1,1,0
484,1,0,27,0,0,8,28,1,5,0,1,0,1,0
485,2,0,24,0,1,2,64,1,9,1,1,1,1,0
487,1,0,53,0,0,36,85,1,6,1,1,1,1,0
489,1,0,28,0,0,2,45,0,3,1,0,0,0,0
493,2,0,45,0,0,1,89,1,1,0,0,1,1,0
494,3,0,21,0,1,3,190,1,5,0,1,0,1,0
495,2,1,36,0,0,0,10,1,7,0,1,0,1,0
496,1,1,25,0,0,2,242,0,4,1,0,0,0,0
497,3,1,23,0,0,1,239,0,3,0,0,1,0,0
499,1,0,28,0,0,1,246,1,5,0,1,0,1,0
500,2,1,21,0,0,0,344,1,8,1,1,1,1,0
501,1,0,36,0,0,0,423,0,3,0,0,1,0,0
502,2,0,24,0,0,0,190,1,3,0,0,1,1,0
503,2,0,28,0,0,3,28,1,6,1,1,1,1,0
504,6,0,30,0,0,1,28,1,2,1,0,0,1,0
505,2,0,29,0,0,0,15,1,1,0,0,1,1,0
509,1,1,30,0,0,0,45,0,6,0,1,0,0,0
510,3,0,51,0,0,1,31,0,1,0,0,1,0,0
511,6,0,33,0,0,3,169,1,1,0,0,1,1,0
512,2,1,25,0,0,2,28,1,6,0,1,0,1,0
516,2,0,32,0,1,12,28,1,9,1,1,1,1,0
517,2,0,23,0,0,1,190,1,6,0,1,0,1,1
518,2,0,47,0,0,3,292,1,3,0,0,1,1,0
521,3,1,32,0,0,1,306,1,3,1,0,0,1,0
522,1,0,37,0,0,0,181,1,1,0,0,1,1,0
523,2,0,19,0,2,2,268,1,10,1,1,1,1,0
524,3,0,27,0,0,0,45,0,8,0,1,0,0,0
525,6,0,39,0,0,0,45,0,1,0,0,1,0,0
526,1,1,21,0,0,0,306,1,6,0,1,0,1,2
527,1,0,69,0,0,0,15,0,1,0,0,1,0,0
530,1,0,21,0,0,2,28,1,6,0,1,0,1,0
531,2,0,26,0,0,6,45,0,10,1,1,1,0,1
532,1,0,22,0,0,0,306,1,4,0,0,1,1,0
533,2,1,23,0,0,0,129,1,5,1,1,1,1,0
537,2,0,49,0,0,3,186,1,5,0,1,0,1,0
538,2,0,29,0,0,2,45,0,4,0,0,1,0,1
540,1,1,60,0,0,0,45,0,1,0,0,1,0,0
541,2,1,26,0,0,0,28,0,10,0,1,0,0,0
542,2,0,23,2,0,3,280,1,10,1,1,1,1,0
543,3,0,34,0,0,2,28,0,5,1,1,1,0,0
545,6,1,20,1,0,1,28,1,4,0,0,1,1,0
546,3,0,36,0,0,1,176,1,3,0,0,1,1,0
547,1,0,30,0,0,0,306,1,4,0,0,1,1,0
548,2,0,21,0,1,1,190,1,3,0,0,1,1,0
552,1,0,22,0,0,2,283,0,6,1,1,1,0,0
553,2,0,57,0,0,18,28,1,8,0,1,0,1,0
557,2,0,21,0,0,4,28,1,9,1,1,1,1,0
558,2,0,21,0,0,0,64,1,5,1,1,1,1,0
561,1,0,34,0,0,1,45,0,1,0,0,1,0,0
563,1,1,50,0,0,1,45,0,1,1,0,0,0,0
565,1,0,40,0,0,0,28,1,7,1,1,1,1,0
566,2,0,25,0,0,7,377,1,8,1,1,1,1,0
567,1,1,53,0,0,1,45,0,1,0,0,1,0,0
569,2,1,24,0,0,0,15,1,4,0,0,1,1,0
572,2,0,42,0,0,1,28,1,1,0,0,1,1,0
573,2,0,28,0,0,1,45,0,3,0,0,1,0,0
574,1,0,24,0,0,1,123,0,4,0,0,1,0,0
576,2,0,26,1,1,6,342,1,8,1,1,1,1,0
579,2,0,22,0,0,4,190,1,9,1,1,1,1,0
580,1,0,21,0,0,3,28,0,7,0,1,0,0,0
581,2,0,37,0,0,23,49,1,9,1,1,1,1,0
584,2,0,35,0,0,2,303,1,5,0,1,0,1,0
586,2,0,53,0,0,2,172,1,1,0,0,1,1,0
587,2,0,60,0,0,1,28,1,1,0,0,1,1,0
588,2,0,29,0,0,7,306,1,4,0,0,1,1,0
590,1,0,48,1,0,23,175,1,8,1,1,1,1,0
594,1,1,52,0,0,0,45,0,1,0,0,1,0,0
597,2,0,27,0,0,12,129,1,8,1,1,1,1,0
598,2,0,28,0,0,5,28,1,9,0,1,0,1,0
599,1,0,33,0,0,3,45,0,3,0,0,1,0,0
600,3,1,28,0,0,0,28,1,2,0,0,1,1,0
601,1,0,47,0,0,5,306,1,10,1,1,1,1,0
602,2,0,36,0,0,14,383,1,7,1,1,1,1,0
603,2,0,29,1,0,2,21,1,5,0,1,0,1,0
604,2,0,22,0,0,0,410,0,9,1,1,1,0,1
605,2,0,26,0,0,6,252,1,7,0,1,0,1,2
608,1,0,25,0,0,0,336,1,2,0,0,1,1,0
609,1,0,68,0,0,2,15,1,1,0,0,1,1,0
611,2,0,56,0,0,5,129,1,3,0,0,1,1,0
612,2,0,27,0,0,9,21,1,8,1,1,1,1,0
613,1,0,52,0,0,4,190,1,1,1,0,0,1,0
616,2,0,32,0,0,3,49,1,2,0,0,1,1,0
617,6,0,60,0,0,4,28,1,1,0,0,1,1,0
621,3,0,23,0,0,1,144,0,3,0,0,1,0,0
622,1,1,39,0,0,0,123,0,6,0,1,0,0,0
623,1,0,56,0,0,0,45,0,1,0,0,1,0,0
624,2,1,22,0,0,0,280,1,7,0,1,0,1,0
625,2,1,27,0,0,1,417,1,2,1,0,0,1,0
627,2,0,53,0,0,11,28,1,6,0,1,0,1,0
628,1,0,25,0,0,0,128,0,2,1,0,0,0,0
629,3,0,21,0,0,0,45,0,3,0,0,1,0,0
630,1,0,22,0,0,0,209,1,3,0,0,1,1,0
633,1,1,58,0,0,2,134,0,1,0,0,1,0,0
635,2,0,31,0,0,7,21,0,3,1,0,0,0,0
637,1,0,22,0,0,1,163,1,5,1,1,1,1,0
638,2,0,28,0,0,8,418,1,6,1,1,1,1,0
639,6,0,42,0,0,1,28,1,1,0,0,1,1,0
640,2,0,20,0,0,0,186,1,7,1,1,1,1,0
641,1,0,29,0,0,0,45,0,6,1,1,1,0,0
643,2,0,29,0,0,8,28,1,10,0,1,0,1,0
644,2,0,58,0,0,21,28,0,7,1,1,1,0,0
645,2,0,22,0,0,3,190,1,7,0,1,0,1,0
646,3,0,48,0,0,1,239,0,1,1,0,0,0,0
647,1,0,37,0,0,0,90,1,4,0,0,1,1,0
648,2,0,57,0,0,1,175,1,5,1,1,1,1,0
649,1,0,27,0,0,3,180,0,1,0,0,1,0,0
651,2,0,26,0,0,3,65,1,4,0,0,1,1,0
653,1,0,24,0,1,3,280,1,8,1,1,1,1,1
654,1,0,33,0,0,0,21,1,1,0,0,1,1,0
656,2,0,29,0,0,2,28,1,6,0,1,0,1,0
657,2,1,24,0,0,3,190,1,10,1,1,1,1,0
659,1,0,19,0,0,1,169,1,10,1,1,1,1,1
660,1,0,36,0,0,2,45,0,1,0,0,1,0,0
662,1,1,24,0,0,0,280,1,5,0,1,0,1,0
664,1,0,34,0,0,0,133,0,1,0,0,1,0,0
668,3,0,25,0,0,2,28,1,5,1,1,1,1,0
669,2,0,20,1,0,1,28,1,10,1,1,1,1,1
673,3,0,28,0,0,2,28,0,5,1,1,1,0,0
674,2,0,24,0,0,1,45,0,2,1,0,0,0,0
675,1,0,61,0,0,4,28,1,1,0,0,1,1,0
678,2,1,50,0,0,3,15,1,2,0,0,1,1,0
679,2,0,30,0,0,1,45,0,1,0,0,1,0,0
680,2,0,38,0,0,5,303,1,3,0,0,1,1,0
681,1,0,24,0,0,0,45,0,1,0,0,1,0,0
684,2,0,45,0,0,16,28,1,2,0,0,1,1,0
685,2,1,46,0,0,2,190,1,10,1,1,1,1,0
686,1,0,41,0,0,0,45,0,1,1,0,0,0,0
687,6,0,20,0,0,0,306,1,8,1,1,1,1,1
688,2,0,27,0,0,13,283,0,8,1,1,1,0,0
689,2,1,51,0,0,16,306,1,8,0,1,0,1,0
691,2,0,26,0,0,1,45,0,6,1,1,1,0,0
692,2,0,29,0,0,3,309,1,5,1,1,1,1,0
693,1,0,52,0,0,6,190,1,5,1,1,1,1,0
694,1,0,28,0,0,1,6,1,4,1,0,0,1,0
